"Date","Day","At-Night Location (Town / Base)","Driving Distance & Est. Time","Key Daily Activities & Sights","Confirmed Hotel / Accommodation / Booking Ref","Schedule & Logistics Notes"
"Dec 12 (Sat)","Day 1","Rovaniemi, Finland","10 km (15 mins)","Fly SIN -> MUC -> RVN (Arrive 5:15 PM); pick up AWD SUV rental; evening walk in central Rovaniemi; dinner at Nili / Gustav.","","Gateway Arrival & AWD SUV Pickup"
"Dec 13 (Sun)","Day 2","Harads / Storklinten, Sweden","235 km (2h 45m)","Drive west through Torne Valley; cross border at Tornio-Haparanda; stop at frozen Kukkolankoski river rapids; check into cabin/lodge; evening sauna & Nordic dinner.","","Sweden Border Crossing & Torne Valley"
"Dec 14 (Mon)","Day 3","Harads / Storklinten, Sweden","0 km (0h - Rest Day)","Arctic wellness & snow day; outdoor snowshoeing / cross-country skiing through pine forests; wood-fired saunas & cold plunge; night aurora watching.","","Zero-Driving Rest & Nature Day"
"Dec 15 (Tue)","Day 4","JukkasjÃ¤rvi / Kiruna, Sweden","280 km (3h 30m)","Drive north across Swedish Lapland tundra; tour freshly opened ICEHOTEL 37 hand-carved ice art suites & ice chapel (opens Dec 11); drink at original Icebar; reindeer feeding at Nutti SÃ¡mi Siida.","","ICEHOTEL 37 Opening Week & SÃ¡mi Reindeer"
"Dec 16 (Wed)","Day 5","Abisko / BjÃ¶rkliden, Sweden","100 km (1h 15m)","Scenic mountain drive along Lake TornetrÃ¤sk; explore Abisko Canyon frozen waterfalls; night open-chairlift ride to mountaintop Aurora Sky Station on Mount Nuolja.","","Abisko National Park & Aurora Sky Station Night 1"
"Dec 17 (Thu)","Day 6","Abisko / BjÃ¶rkliden, Sweden","0 km (0h - Rest Day)","Guided alpine snowmobile safari across mountain passes toward the Norwegian border (RiksgrÃ¤nsen); marvel at Lapporten U-shaped valley; night aurora watch at Lake TornetrÃ¤sk shores.","","Zero-Driving Alpine Tundra & Aurora Blue Hole Night 2"
"Dec 18 (Fri)","Day 7","Abisko / BjÃ¶rkliden, Sweden","0 km (0h - Rest Day)","Morning 3-hour husky sledding safari through Arctic birch forest; visit Silverfallet frozen waterfall beach; dinner at Abisko Mountain Lodge; night aurora watch.","","Zero-Driving Husky Safari & Peak Aurora Night 3"
"Dec 19 (Sat)","Day 8","Kemi, Finland","340 km (4h 00m)","Scenic cross-border drive south from Swedish mountains to Finnish Bothnian coast; cross border at Tornio; check in; explore SnowExperience365 indoor ice castle and ice bar.","","Finland Re-entry & SnowCastle of Kemi"
"Dec 20 (Sun)","Day 9","Kemi, Finland","20 km (20m local)","Official Sampo Icebreaker Cruise (operational season starts Dec 18!): crush through solid sea ice, engine room tour, survival drysuit floating in open sea-ice pool; coastal sauna.","","Sampo Icebreaker Cruise & Sea Ice Floating"
"Dec 21 (Mon)","Day 10","Posio, Finland","170 km (2h 15m)","Scenic drive east to Posio; stop at S-Market Posio for groceries; check into Airbnb (Rantapolku 1); evening lakeside sauna & quiet aurora watch.","","Check-in Rantapolku 1 Posio (Airbnb Booked)"
"Dec 22 (Tue)","Day 11","Posio, Finland","60 km (50m roundtrip)","25-minute drive to Riisitunturi National Park; 10:30 AM golden twilight snowshoe hike (Riisin rÃ¤Ã¤pÃ¤sy 4.3 km trail) among Europe's heaviest Tykky snow-sculpture trees; campfire lunch at wilderness hut.","","Riisitunturi National Park World-Class Tykky Trees"
"Dec 23 (Wed)","Day 12","Iso-SyÃ¶te, Finland","75 km (55 mins)","Relaxed morning in Posio; short 55-minute drive to Iso-SyÃ¶te fell summit; check in; afternoon downhill skiing or panoramic fell-top spa; dinner at Restaurant Hilltop.","","Easy 1h Hop to Iso-SyÃ¶te Fell"
"Dec 24 (Thu)","Day 13","Iso-SyÃ¶te, Finland","0 km (0h - Rest Day)","Check into your confirmed Iso-SyÃ¶te Treehouse (luggage transferred across path); Christmas Eve feast, private fell-top sauna, panoramic glass view of snow-covered spruce canopy.","","Confirmed Booking: Iso-SyÃ¶te Treehouse (Christmas Eve)"
"Dec 25 (Fri)","Day 14","En-Route VR Night Train","160 km (2h 00m)","Christmas Day morning at Iso-SyÃ¶te; drive to Rovaniemi; explore Santa Claus Village & post office; return AWD SUV at station ($0 drop-off fee); board 9:00 PM VR Santa Claus Express Sleeper Train.","","Confirmed Booking: VR Sleeper Train 9:00 PM"
"Dec 26 (Sat)","Day 15","Helsinki, Finland","0 km (Transit)","Arrive Helsinki Central 9:00 AM (Boxing Day); explore Oodi Central Library & Senate Square; afternoon seaside smoke sauna & Baltic ice dip at LÃ¶yly.","","Confirmed Booking: Hotel U14 Autograph Collection"
"Dec 27 (Sun)","Day 16","Tallinn, Estonia","0 km (Ferry)","Morning 2-hour Megastar express ferry across Baltic Sea; explore UNESCO medieval Old Town, Town Hall Christmas Market, and Toompea Hill vista.","","Baltic Sea Ferry Transit & Medieval Tallinn"
"Dec 28 (Mon)","Day 17","Stockholm, Sweden","0 km (Flight)","Morning visit to Kadriorg Palace or Seaplane Harbour; late afternoon flight to Stockholm (TLL -> ARN); evening walk through illuminated Norrmalm & Nybroplan.","","Flight TLL -> ARN to Stockholm"
"Dec 29 (Tue)","Day 18","Stockholm, Sweden","0 km (Metro/Walk)","Full day of historic Stockholm: cobblestone alleys of Gamla Stan (Old Town), Royal Palace, Stortorget, and Nobel Prize Museum.","","Stockholm Core Day 1"
"Dec 30 (Wed)","Day 19","Stockholm, Sweden","0 km (Ferry/Tram)","Maritime & culture day: tour 17th-century Vasa Museum, explore DjurgÃ¥rden island & Skansen, or visit ABBA The Museum; traditional Swedish dinner.","","Stockholm Core Day 2"
"Dec 31 (Thu)","Day 20","Copenhagen, Denmark","0 km (Train)","Morning SJ High-Speed Train from Stockholm Central to Copenhagen Central (5h 10m via Ã–resund Bridge); check in; New Year's Eve gala dinner & midnight fireworks at Tivoli Gardens.","","High-Speed Train & NYE Tivoli Celebration"
"Jan 01 (Fri)","Day 21","Copenhagen, Denmark","0 km (Metro/Walk)","Relaxed New Year's Day stroll; view CopenHill rooftop architecture, Amalienborg Palace royal guard change, and Nyhavn / StrÃ¸get cafe culture.","","New Year's Day in Copenhagen"
"Jan 02 (Sat)","Day 22","Flight Home (In Flight)","0 km (Metro)","Morning 13-minute Metro to CPH Airport; depart on Singapore Airlines SQ352 non-stop to Singapore at 12:00 PM (Arrive SIN Jan 03, 7:30 AM).","","SQ352 Non-stop to Singapore"
